"Date","Value"
"2017-01-13 10:48:16","141149"
"2017-01-13 10:00:00","141149"
"2017-01-13 08:25:54","141149"
"2017-01-13 07:32:26","141149"
"2017-01-13 07:00:00","141149"
"2017-01-13 05:03:49","141149"
"2017-01-13 04:33:55","141149"
"2017-01-13 03:45:20","141149"
"2017-01-13 03:00:00","141149"
"2017-01-13 01:38:07","141150"
"2017-01-13 00:28:08","144523"
"2017-01-13 00:00:00","142261"
"2017-01-12 22:13:17","139998"
"2017-01-12 21:25:52","139998"
"2017-01-12 20:54:42","139998"
"2017-01-12 20:00:00","139998"
"2017-01-12 18:31:02","139998"
"2017-01-12 17:41:06","139998"
"2017-01-12 17:00:00","139998"
"2017-01-12 15:06:48","139998"
"2017-01-12 14:32:26","139998"
"2017-01-12 13:42:48","139998"
"2017-01-12 12:50:38","139998"
"2017-01-12 12:00:00","139998"
"2017-01-12 10:28:27","139998"
"2017-01-12 10:00:00","139998"
"2017-01-12 08:17:24","139998"
"2017-01-12 07:28:41","139998"
"2017-01-12 06:56:01","139998"
"2017-01-12 06:00:00","139998"
"2017-01-12 04:25:52","139998"
"2017-01-12 03:32:27","139998"
"2017-01-12 03:00:00","139998"
"2017-01-12 01:04:12","139998"
"2017-01-12 00:32:06","139998"
"2017-01-11 23:44:38","139998"
"2017-01-11 23:00:00","139998"
"2017-01-11 21:33:45","139998"
"2017-01-11 20:25:02","139998"
"2017-01-11 20:00:00","139998"
"2017-01-11 18:13:29","139998"
"2017-01-11 17:24:53","139998"
"2017-01-11 16:52:23","139998"
"2017-01-11 16:00:00","139998"
"2017-01-11 14:26:00","139998"
"2017-01-11 13:34:45","139998"
"2017-01-11 12:48:55","139998"
"2016-10-18 00:00:00","90733"
"2016-10-17 00:00:00","90731"
"2016-10-16 00:00:00","90731"
"2016-10-15 00:00:00","88614"
"2016-10-14 00:00:00","87706"
"2016-10-13 00:00:00","89677"
"2016-10-12 00:00:00","89489"
"2016-10-11 00:00:00","90654"
"2016-10-10 00:00:00","90727"
"2016-10-09 00:00:00","88154"
"2016-10-08 00:00:00","79304"
"2016-10-07 00:00:00","90727"
"2016-10-06 00:00:00","90730"
"2016-10-05 00:00:00","90731"
"2016-10-04 00:00:00","90492"
"2016-10-03 00:00:00","90346"
"2016-10-02 00:00:00","90387"
"2016-10-01 00:00:00","95380"
"2016-09-30 00:00:00","99207"
"2016-09-29 00:00:00","98770"
"2016-09-28 00:00:00","99450"
"2016-09-27 00:00:00","99327"
"2016-09-26 00:00:00","99972"
"2016-09-25 00:00:00","99999"
"2016-09-24 00:00:00","105798"
"2016-09-23 00:00:00","99999"
"2016-09-22 00:00:00","109672"
"2016-09-21 00:00:00","112283"
"2016-09-20 00:00:00","115015"
"2016-09-19 00:00:00","114118"
"2016-09-18 00:00:00","114847"
"2016-09-17 00:00:00","108591"
"2016-09-16 00:00:00","134759"
"2016-09-15 00:00:00","144530"
"2016-09-14 00:00:00","139480"
"2016-09-13 00:00:00","123091"
"2016-09-12 00:00:00","150086"
"2016-09-11 00:00:00","154381"
"2016-09-10 00:00:00","154531"
"2016-09-09 00:00:00","144774"
"2016-09-08 00:00:00","140479"
"2016-09-07 00:00:00","154527"
"2016-09-06 00:00:00","149621"
"2016-09-05 00:00:00","149977"
"2016-09-04 00:00:00","145999"
"2016-09-03 00:00:00","145839"
"2016-09-02 00:00:00","144403"
"2016-09-01 00:00:00","140744"
"2016-08-31 00:00:00","138706"
"2016-08-30 00:00:00","137706"
"2016-08-29 00:00:00","139704"
"2016-08-28 00:00:00","106976"
"2016-08-27 00:00:00","115303"
"2016-08-26 00:00:00","83887"
"2016-08-25 00:00:00","73570"
"2016-08-24 00:00:00","87347"
"2016-08-23 00:00:00","107776"
"2016-08-22 00:00:00","109999"
"2016-08-21 00:00:00","107002"
"2016-08-20 00:00:00","105503"
"2016-08-19 00:00:00","102305"
"2016-08-18 00:00:00","100706"
"2016-08-17 00:00:00","101239"
"2016-08-16 00:00:00","105502"
"2016-08-15 00:00:00","105503"
"2016-08-14 00:00:00","105953"
"2016-08-13 00:00:00","105555"
"2016-08-12 00:00:00","101110"
"2016-08-11 00:00:00","115499"
"2016-08-10 00:00:00","134791"
"2016-08-09 00:00:00","140404"
"2016-08-08 00:00:00","140704"
"2016-08-07 00:00:00","140704"
"2016-08-06 00:00:00","142724"
"2016-08-05 00:00:00","144059"
"2016-08-04 00:00:00","144355"
"2016-08-03 00:00:00","144401"
"2016-08-02 00:00:00","144402"
"2016-08-01 00:00:00","144403"
"2016-07-31 00:00:00","143913"
"2016-07-30 00:00:00","144402"
"2016-07-29 00:00:00","144403"
"2016-07-28 00:00:00","145644"
"2016-07-27 00:00:00","145998"
"2016-07-26 00:00:00","148596"
"2016-07-25 00:00:00","149897"
"2016-07-24 00:00:00","145465"
"2016-07-23 00:00:00","141033"
"2016-07-22 00:00:00","149900"
"2016-07-21 00:00:00","144635"
"2016-07-20 00:00:00","152704"
"2016-07-19 00:00:00","139999"
"2016-07-18 00:00:00","136834"
"2016-07-17 00:00:00","128061"
"2016-07-16 00:00:00","126728"
"2016-07-15 00:00:00","124992"
"2016-07-14 00:00:00","116530"
"2016-07-13 00:00:00","99567"
"2016-07-12 00:00:00","97633"
"2016-07-11 00:00:00","90912"
"2016-07-10 00:00:00","94847"
"2016-07-09 00:00:00","99306"
"2016-07-08 00:00:00","99303"
"2016-07-07 00:00:00","97373"
"2016-07-06 00:00:00","99608"
"2016-07-05 00:00:00","119395"
"2016-07-04 00:00:00","133881"
"2016-07-03 00:00:00","134992"
"2016-07-02 00:00:00","134992"
"2016-07-01 00:00:00","134993"
"2016-06-30 00:00:00","134993"
"2016-06-29 00:00:00","119708"
"2016-06-28 00:00:00","134997"
"2016-06-27 00:00:00","125811"
"2016-06-26 00:00:00","124549"
"2016-06-25 00:00:00","119465"
"2016-06-24 00:00:00","125027"
"2016-06-23 00:00:00","124263"
"2016-06-22 00:00:00","124045"
"2016-06-21 00:00:00","124045"
"2016-06-20 00:00:00","124536"
"2016-06-19 00:00:00","118431"
"2016-06-18 00:00:00","125030"
"2016-06-17 00:00:00","127498"
"2016-06-16 00:00:00","103145"
"2016-06-15 00:00:00","130616"
"2016-06-14 00:00:00","134798"
"2016-06-13 00:00:00","134998"
"2016-06-12 00:00:00","109644"
"2016-06-11 00:00:00","112794"
"2016-06-10 00:00:00","114974"
"2016-06-09 00:00:00","114975"
"2016-06-08 00:00:00","114975"
"2016-06-07 00:00:00","114974"
"2016-06-06 00:00:00","114975"
"2016-06-05 00:00:00","114975"
"2016-06-04 00:00:00","123874"
"2016-06-03 00:00:00","132118"
"2016-06-02 00:00:00","134028"
"2016-06-01 00:00:00","134534"
"2016-05-31 00:00:00","92118"
"2016-05-30 00:00:00","111999"
"2016-05-29 00:00:00","119999"
"2016-05-28 00:00:00","130174"
"2016-05-27 00:00:00","131204"
"2016-05-26 00:00:00","128538"
"2016-05-25 00:00:00","128538"
"2016-05-24 00:00:00","130538"
"2016-05-23 00:00:00","129653"
"2016-05-22 00:00:00","127705"
"2016-05-21 00:00:00","121800"
"2016-05-20 00:00:00","112889"
"2016-05-19 00:00:00","105426"
"2016-05-18 00:00:00","127704"
"2016-05-17 00:00:00","127704"
"2016-05-16 00:00:00","127590"
"2016-05-15 00:00:00","115532"
"2016-05-14 00:00:00","98417"
"2016-05-13 00:00:00","127586"
"2016-05-12 00:00:00","131732"
"2016-05-11 00:00:00","134954"
"2016-05-10 00:00:00","136912"
"2016-05-09 00:00:00","138300"
"2016-05-08 00:00:00","112868"
"2016-05-07 00:00:00","129490"
"2016-05-06 00:00:00","139224"
"2016-05-05 00:00:00","139996"
"2016-05-04 00:00:00","139997"
"2016-05-03 00:00:00","136663"
"2016-05-02 00:00:00","129999"
"2016-05-01 00:00:00","129996"
"2016-04-30 00:00:00","129995"
"2016-04-29 00:00:00","129999"
"2016-04-28 00:00:00","131999"
"2016-04-27 00:00:00","139442"
"2016-04-26 00:00:00","136665"
"2016-04-25 00:00:00","138997"
"2016-04-24 00:00:00","139997"
"2016-04-23 00:00:00","144839"
"2016-04-22 00:00:00","145193"
"2016-04-21 00:00:00","141908"
"2016-04-20 00:00:00","141631"
"2016-04-19 00:00:00","150729"
"2016-04-18 00:00:00","153575"
"2016-04-17 00:00:00","154531"
"2016-04-16 00:00:00","154532"
"2016-04-15 00:00:00","154533"
"2016-04-14 00:00:00","149490"
"2016-04-13 00:00:00","153777"
"2016-04-12 00:00:00","150173"
"2016-04-11 00:00:00","154535"
"2016-04-10 00:00:00","152628"
"2016-04-09 00:00:00","153033"
"2016-04-08 00:00:00","148999"
"2016-04-07 00:00:00","152299"
"2016-04-06 00:00:00","149940"
"2016-04-05 00:00:00","147574"
"2016-04-04 00:00:00","154534"
"2016-04-03 00:00:00","153626"
"2016-04-02 00:00:00","150907"
"2016-04-01 00:00:00","154534"
"2016-03-31 00:00:00","148720"
"2016-03-30 00:00:00","150702"
"2016-03-29 00:00:00","154519"
"2016-03-28 00:00:00","153548"
"2016-03-27 00:00:00","154498"
"2016-03-26 00:00:00","150452"
"2016-03-25 00:00:00","146023"
"2016-03-24 00:00:00","142798"
"2016-03-23 00:00:00","140997"
"2016-03-22 00:00:00","140992"
"2016-03-21 00:00:00","139845"
"2016-03-20 00:00:00","134273"
"2016-03-19 00:00:00","140934"
"2016-03-18 00:00:00","136602"
"2016-03-17 00:00:00","135363"
"2016-03-16 00:00:00","135363"
"2016-03-15 00:00:00","135365"
"2016-03-14 00:00:00","136752"
"2016-03-13 00:00:00","140932"
"2016-03-12 00:00:00","140930"
"2016-03-11 00:00:00","140930"
"2016-03-10 00:00:00","140917"
"2016-03-09 00:00:00","137598"
"2016-03-08 00:00:00","132044"
"2016-03-07 00:00:00","140260"
"2016-03-06 00:00:00","139205"
"2016-03-05 00:00:00","136490"
"2016-03-04 00:00:00","140930"
"2016-03-03 00:00:00","140867"
"2016-03-02 00:00:00","140832"
"2016-03-01 00:00:00","140571"
"2016-02-29 00:00:00","129301"
"2016-02-28 00:00:00","131862"
"2016-02-27 00:00:00","126238"
"2016-02-26 00:00:00","124605"
"2016-02-25 00:00:00","140948"
"2016-02-24 00:00:00","140949"
"2016-02-23 00:00:00","140968"
"2016-02-22 00:00:00","145553"
"2016-02-21 00:00:00","152005"
"2016-02-20 00:00:00","154536"
"2016-02-19 00:00:00","152722"
"2016-02-18 00:00:00","151206"
"2016-02-17 00:00:00","154992"
"2016-02-16 00:00:00","152050"
"2016-02-15 00:00:00","155051"
"2016-02-14 00:00:00","155050"
"2016-02-13 00:00:00","138915"
"2016-02-12 00:00:00","132000"
"2016-02-11 00:00:00","155052"
"2016-02-10 00:00:00","154981"
"2016-02-09 00:00:00","155053"
"2016-02-08 00:00:00","143290"
"2016-02-07 00:00:00","155398"
"2016-02-06 00:00:00","146419"
"2016-02-05 00:00:00","137295"
"2016-02-04 00:00:00","151616"
"2016-02-03 00:00:00","128049"
"2016-02-02 00:00:00","128001"
"2016-02-01 00:00:00","127941"
"2016-01-31 00:00:00","127939"
"2016-01-30 00:00:00","127940"
"2016-01-29 00:00:00","127936"
"2016-01-28 00:00:00","127942"
"2016-01-27 00:00:00","127934"
"2016-01-26 00:00:00","127922"
"2016-01-25 00:00:00","127893"
"2016-01-24 00:00:00","124795"
"2016-01-23 00:00:00","128001"
"2016-01-22 00:00:00","128046"
"2016-01-21 00:00:00","128046"
"2016-01-20 00:00:00","128046"
"2016-01-19 00:00:00","121349"
"2016-01-18 00:00:00","128030"
"2016-01-17 00:00:00","121851"
"2016-01-16 00:00:00","127718"
"2016-01-15 00:00:00","126928"
"2016-01-14 00:00:00","139360"
"2016-01-13 00:00:00","141916"
"2016-01-12 00:00:00","140471"
"2016-01-11 00:00:00","124178"
"2016-01-10 00:00:00","125202"
"2016-01-09 00:00:00","122434"
"2016-01-08 00:00:00","131750"
"2016-01-07 00:00:00","141651"
"2016-01-06 00:00:00","155452"
"2016-01-05 00:00:00","155453"
"2016-01-04 00:00:00","155541"
"2016-01-03 00:00:00","152592"
"2016-01-02 00:00:00","146670"
"2016-01-01 00:00:00","132782"
"2015-12-31 00:00:00","169783"
"2015-12-30 00:00:00","182113"
"2015-12-29 00:00:00","182113"
"2015-12-28 00:00:00","182109"
"2015-12-27 00:00:00","182097"
"2015-12-26 00:00:00","159997"
"2015-12-25 00:00:00","179916"
"2015-12-24 00:00:00","177672"
"2015-12-23 00:00:00","179943"
"2015-12-22 00:00:00","179896"
"2015-12-21 00:00:00","124879"
"2015-12-20 00:00:00","114998"
"2015-12-19 00:00:00","135415"
"2015-12-18 00:00:00","139894"
"2015-12-17 00:00:00","139895"
"2015-12-16 00:00:00","139896"
"2015-12-15 00:00:00","143877"
"2015-12-14 00:00:00","153417"
"2015-12-13 00:00:00","121896"
"2015-12-12 00:00:00","90559"
"2015-12-11 00:00:00","141624"
"2015-12-10 00:00:00","139686"
"2015-12-09 00:00:00","136685"
"2015-12-08 00:00:00","95399"
"2015-12-07 00:00:00","94224"
"2015-12-06 00:00:00","96931"
"2015-12-05 00:00:00","92886"
"2015-12-04 00:00:00","79194"
"2015-12-03 00:00:00","79033"
"2015-12-02 00:00:00","79011"
"2015-12-01 00:00:00","79010"
"2015-11-30 00:00:00","79013"
"2015-11-29 00:00:00","77110"
"2015-11-28 00:00:00","79193"
"2015-11-27 00:00:00","78481"
"2015-11-26 00:00:00","79192"
"2015-11-25 00:00:00","76588"
"2015-11-24 00:00:00","77110"
"2015-11-23 00:00:00","75362"
"2015-11-22 00:00:00","73445"
"2015-11-21 00:00:00","77970"
"2015-11-20 00:00:00","77965"
"2015-11-19 00:00:00","67989"
"2015-11-18 00:00:00","67990"
"2015-11-17 00:00:00","67989"
"2015-11-16 00:00:00","58455"
"2015-11-15 00:00:00","67691"
"2015-11-14 00:00:00","67658"
"2015-11-13 00:00:00","67987"
"2015-11-12 00:00:00","67987"
"2015-11-11 00:00:00","67965"
"2015-11-10 00:00:00","67990"
"2015-11-09 00:00:00","69210"
"2015-11-08 00:00:00","72590"
"2015-11-07 00:00:00","72766"
"2015-11-06 00:00:00","77261"
"2015-11-05 00:00:00","70772"
"2015-11-04 00:00:00","74096"
"2015-11-03 00:00:00","77748"
"2015-11-02 00:00:00","77747"
"2015-11-01 00:00:00","79040"
"2015-10-31 00:00:00","79190"
"2015-10-30 00:00:00","79190"
"2015-10-29 00:00:00","75231"
"2015-10-28 00:00:00","75576"
"2015-10-27 00:00:00","79190"
"2015-10-26 00:00:00","79163"
"2015-10-24 00:00:00","77856"
"2015-10-23 00:00:00","77912"
